##& xmin & xmax & central value & dy & 

<histogram> 100 "log10d01 [] |X_AXIS@LIN |Y_AXIS@LOG |JETSAMPLE@0"
  +1.9800000e+00   +2.0100000e+00   +6.3196800e-10   +1.2899851e-10
  +2.0100000e+00   +2.0400000e+00   +7.8996000e-11   +4.5608362e-11
  +2.0400000e+00   +2.0700000e+00   +0.0000000e+00   +0.0000000e+00
  +2.0700000e+00   +2.1000000e+00   +0.0000000e+00   +0.0000000e+00
  +2.1000000e+00   +2.1300000e+00   +0.0000000e+00   +0.0000000e+00
  +2.1300000e+00   +2.1600000e+00   +0.0000000e+00   +0.0000000e+00
  +2.1600000e+00   +2.1900000e+00   +0.0000000e+00   +0.0000000e+00
  +2.1900000e+00   +2.2200000e+00   +0.0000000e+00   +0.0000000e+00
  +2.2200000e+00   +2.2500000e+00   +0.0000000e+00   +0.0000000e+00
  +2.2500000e+00   +2.2800000e+00   +0.0000000e+00   +0.0000000e+00
  +2.2800000e+00   +2.3100000e+00   +0.0000000e+00   +0.0000000e+00
  +2.3100000e+00   +2.3400000e+00   +0.0000000e+00   +0.0000000e+00
  +2.3400000e+00   +2.3700000e+00   +0.0000000e+00   +0.0000000e+00
  +2.3700000e+00   +2.4000000e+00   +0.0000000e+00   +0.0000000e+00
  +2.4000000e+00   +2.4300000e+00   +0.0000000e+00   +0.0000000e+00
  +2.4300000e+00   +2.4600000e+00   +0.0000000e+00   +0.0000000e+00
  +2.4600000e+00   +2.4900000e+00   +0.0000000e+00   +0.0000000e+00
  +2.4900000e+00   +2.5200000e+00   +0.0000000e+00   +0.0000000e+00
  +2.5200000e+00   +2.5500000e+00   +0.0000000e+00   +0.0000000e+00
  +2.5500000e+00   +2.5800000e+00   +0.0000000e+00   +0.0000000e+00
  +2.5800000e+00   +2.6100000e+00   +0.0000000e+00   +0.0000000e+00
  +2.6100000e+00   +2.6400000e+00   +0.0000000e+00   +0.0000000e+00
  +2.6400000e+00   +2.6700000e+00   +0.0000000e+00   +0.0000000e+00
  +2.6700000e+00   +2.7000000e+00   +0.0000000e+00   +0.0000000e+00
  +2.7000000e+00   +2.7300000e+00   +0.0000000e+00   +0.0000000e+00
  +2.7300000e+00   +2.7600000e+00   +0.0000000e+00   +0.0000000e+00
  +2.7600000e+00   +2.7900000e+00   +0.0000000e+00   +0.0000000e+00
  +2.7900000e+00   +2.8200000e+00   +0.0000000e+00   +0.0000000e+00
  +2.8200000e+00   +2.8500000e+00   +0.0000000e+00   +0.0000000e+00
  +2.8500000e+00   +2.8800000e+00   +0.0000000e+00   +0.0000000e+00
  +2.8800000e+00   +2.9100000e+00   +0.0000000e+00   +0.0000000e+00
  +2.9100000e+00   +2.9400000e+00   +0.0000000e+00   +0.0000000e+00
  +2.9400000e+00   +2.9700000e+00   +0.0000000e+00   +0.0000000e+00
  +2.9700000e+00   +3.0000000e+00   +0.0000000e+00   +0.0000000e+00
<\histogram>
##& xmin & xmax & central value & dy & 

<histogram> 100 "log10d12 [] |X_AXIS@LIN |Y_AXIS@LOG |JETSAMPLE@0"
  +0.0000000e+00   +3.0000000e-02   +1.0532800e-10   +5.2664000e-11
  +3.0000000e-02   +6.0000000e-02   +2.6331900e-10   +8.3269063e-11
  +6.0000000e-02   +9.0000000e-02   +1.5799100e-10   +6.4499708e-11
  +9.0000000e-02   +1.2000000e-01   +2.6331700e-10   +8.3268999e-11
  +1.2000000e-01   +1.5000000e-01   +2.6332000e-11   +2.6332000e-11
  +1.5000000e-01   +1.8000000e-01   +3.4231100e-10   +9.4941090e-11
  +1.8000000e-01   +2.1000000e-01   +2.8965100e-10   +8.7333333e-11
  +2.1000000e-01   +2.4000000e-01   +2.6331700e-10   +8.3268833e-11
  +2.4000000e-01   +2.7000000e-01   +3.6864400e-10   +9.8525074e-11
  +2.7000000e-01   +3.0000000e-01   +3.1598400e-10   +9.1216088e-11
  +3.0000000e-01   +3.3000000e-01   +2.3698700e-10   +7.8995966e-11
  +3.3000000e-01   +3.6000000e-01   +2.1065500e-10   +7.4478107e-11
  +3.6000000e-01   +3.9000000e-01   +3.1598200e-10   +9.1216514e-11
  +3.9000000e-01   +4.2000000e-01   +6.5829900e-10   +1.3165889e-10
  +4.2000000e-01   +4.5000000e-01   +3.6864600e-10   +9.8525268e-11
  +4.5000000e-01   +4.8000000e-01   +3.1598200e-10   +9.1216665e-11
  +4.8000000e-01   +5.1000000e-01   +2.6331900e-10   +8.3269063e-11
  +5.1000000e-01   +5.4000000e-01   +4.7397200e-10   +1.1171675e-10
  +5.4000000e-01   +5.7000000e-01   +7.8995900e-10   +1.4422476e-10
  +5.7000000e-01   +6.0000000e-01   +7.8995200e-10   +1.4422531e-10
  +6.0000000e-01   +6.3000000e-01   +1.2375930e-09   +1.8052124e-10
  +6.3000000e-01   +6.6000000e-01   +8.9528300e-10   +1.5353927e-10
  +6.6000000e-01   +6.9000000e-01   +1.2375960e-09   +1.8052101e-10
  +6.9000000e-01   +7.2000000e-01   +1.6589040e-09   +2.0900083e-10
  +7.2000000e-01   +7.5000000e-01   +1.6062390e-09   +2.0565672e-10
  +7.5000000e-01   +7.8000000e-01   +1.8432330e-09   +2.2030593e-10
  +7.8000000e-01   +8.1000000e-01   +2.2118490e-09   +2.4133337e-10
  +8.1000000e-01   +8.4000000e-01   +1.7905700e-09   +2.1713585e-10
  +8.4000000e-01   +8.7000000e-01   +2.4225020e-09   +2.5256393e-10
  +8.7000000e-01   +9.0000000e-01   +2.6068430e-09   +2.6199616e-10
  +9.0000000e-01   +9.3000000e-01   +2.8701500e-09   +2.7490987e-10
  +9.3000000e-01   +9.6000000e-01   +2.8964730e-09   +2.7616822e-10
  +9.6000000e-01   +9.9000000e-01   +3.4757750e-09   +3.0252686e-10
  +9.9000000e-01   +1.0200000e+00   +4.3973700e-09   +3.4028157e-10
  +1.0200000e+00   +1.0500000e+00   +4.1077350e-09   +3.2888224e-10
  +1.0500000e+00   +1.0800000e+00   +5.4506400e-09   +3.7884871e-10
  +1.0800000e+00   +1.1100000e+00   +5.2400000e-09   +3.7145763e-10
  +1.1100000e+00   +1.1400000e+00   +5.6349600e-09   +3.8519880e-10
  +1.1400000e+00   +1.1700000e+00   +7.6625000e-09   +4.4918873e-10
  +1.1700000e+00   +1.2000000e+00   +8.2417900e-09   +4.6585982e-10
  +1.2000000e+00   +1.2300000e+00   +7.8204900e-09   +4.5379986e-10
  +1.2300000e+00   +1.2600000e+00   +8.4787800e-09   +4.7250961e-10
  +1.2600000e+00   +1.2900000e+00   +1.0190330e-08   +5.1799736e-10
  +1.2900000e+00   +1.3200000e+00   +1.0980260e-08   +5.3770448e-10
  +1.3200000e+00   +1.3500000e+00   +1.1111930e-08   +5.4092302e-10
  +1.3500000e+00   +1.3800000e+00   +1.1928180e-08   +5.6043690e-10
  +1.3800000e+00   +1.4100000e+00   +1.2165190e-08   +5.6597324e-10
  +1.4100000e+00   +1.4400000e+00   +1.1401580e-08   +5.4792782e-10
  +1.4400000e+00   +1.4700000e+00   +1.1480580e-08   +5.4982446e-10
  +1.4700000e+00   +1.5000000e+00   +1.0032340e-08   +5.1397332e-10
  +1.5000000e+00   +1.5300000e+00   +9.7690300e-09   +5.0718741e-10
  +1.5300000e+00   +1.5600000e+00   +8.9001000e-09   +4.8410821e-10
  +1.5600000e+00   +1.5900000e+00   +8.1364700e-09   +4.6287620e-10
  +1.5900000e+00   +1.6200000e+00   +7.3728600e-09   +4.4062141e-10
  +1.6200000e+00   +1.6500000e+00   +5.4769700e-09   +3.7976365e-10
  +1.6500000e+00   +1.6800000e+00   +5.3189900e-09   +3.7424488e-10
  +1.6800000e+00   +1.7100000e+00   +3.6864300e-09   +3.1156149e-10
  +1.7100000e+00   +1.7400000e+00   +3.3704400e-09   +2.9790811e-10
  +1.7400000e+00   +1.7700000e+00   +2.7911500e-09   +2.7110022e-10
  +1.7700000e+00   +1.8000000e+00   +1.8168950e-09   +2.1872687e-10
  +1.8000000e+00   +1.8300000e+00   +1.0532710e-09   +1.6653671e-10
  +1.8300000e+00   +1.8600000e+00   +7.1096200e-10   +1.3682390e-10
  +1.8600000e+00   +1.8900000e+00   +3.4231200e-10   +9.4941118e-11
  +1.8900000e+00   +1.9200000e+00   +1.8432400e-10   +6.9667924e-11
  +1.9200000e+00   +1.9500000e+00   +5.2664000e-11   +3.7239072e-11
  +1.9500000e+00   +1.9800000e+00   +5.2664000e-11   +3.7239072e-11
  +1.9800000e+00   +2.0100000e+00   +0.0000000e+00   +0.0000000e+00
  +2.0100000e+00   +2.0400000e+00   +0.0000000e+00   +0.0000000e+00
  +2.0400000e+00   +2.0700000e+00   +0.0000000e+00   +0.0000000e+00
  +2.0700000e+00   +2.1000000e+00   +0.0000000e+00   +0.0000000e+00
  +2.1000000e+00   +2.1300000e+00   +0.0000000e+00   +0.0000000e+00
  +2.1300000e+00   +2.1600000e+00   +0.0000000e+00   +0.0000000e+00
  +2.1600000e+00   +2.1900000e+00   +0.0000000e+00   +0.0000000e+00
  +2.1900000e+00   +2.2200000e+00   +0.0000000e+00   +0.0000000e+00
  +2.2200000e+00   +2.2500000e+00   +0.0000000e+00   +0.0000000e+00
  +2.2500000e+00   +2.2800000e+00   +0.0000000e+00   +0.0000000e+00
  +2.2800000e+00   +2.3100000e+00   +0.0000000e+00   +0.0000000e+00
  +2.3100000e+00   +2.3400000e+00   +0.0000000e+00   +0.0000000e+00
  +2.3400000e+00   +2.3700000e+00   +0.0000000e+00   +0.0000000e+00
  +2.3700000e+00   +2.4000000e+00   +0.0000000e+00   +0.0000000e+00
  +2.4000000e+00   +2.4300000e+00   +0.0000000e+00   +0.0000000e+00
  +2.4300000e+00   +2.4600000e+00   +0.0000000e+00   +0.0000000e+00
  +2.4600000e+00   +2.4900000e+00   +0.0000000e+00   +0.0000000e+00
  +2.4900000e+00   +2.5200000e+00   +0.0000000e+00   +0.0000000e+00
  +2.5200000e+00   +2.5500000e+00   +0.0000000e+00   +0.0000000e+00
  +2.5500000e+00   +2.5800000e+00   +0.0000000e+00   +0.0000000e+00
  +2.5800000e+00   +2.6100000e+00   +0.0000000e+00   +0.0000000e+00
  +2.6100000e+00   +2.6400000e+00   +0.0000000e+00   +0.0000000e+00
  +2.6400000e+00   +2.6700000e+00   +0.0000000e+00   +0.0000000e+00
  +2.6700000e+00   +2.7000000e+00   +0.0000000e+00   +0.0000000e+00
  +2.7000000e+00   +2.7300000e+00   +0.0000000e+00   +0.0000000e+00
  +2.7300000e+00   +2.7600000e+00   +0.0000000e+00   +0.0000000e+00
  +2.7600000e+00   +2.7900000e+00   +0.0000000e+00   +0.0000000e+00
  +2.7900000e+00   +2.8200000e+00   +0.0000000e+00   +0.0000000e+00
  +2.8200000e+00   +2.8500000e+00   +0.0000000e+00   +0.0000000e+00
  +2.8500000e+00   +2.8800000e+00   +0.0000000e+00   +0.0000000e+00
  +2.8800000e+00   +2.9100000e+00   +0.0000000e+00   +0.0000000e+00
  +2.9100000e+00   +2.9400000e+00   +0.0000000e+00   +0.0000000e+00
  +2.9400000e+00   +2.9700000e+00   +0.0000000e+00   +0.0000000e+00
  +2.9700000e+00   +3.0000000e+00   +0.0000000e+00   +0.0000000e+00
<\histogram>


##& xmin & xmax & central value & dy & 

<histogram> 100 "log10d23 [] |X_AXIS@LIN |Y_AXIS@LOG |JETSAMPLE@0"
  +0.0000000e+00   +3.0000000e-02   +1.5799200e-10   +6.4499964e-11
  +3.0000000e-02   +6.0000000e-02   +1.5799200e-10   +6.4499964e-11
  +6.0000000e-02   +9.0000000e-02   +7.8996000e-11   +4.5608362e-11
  +9.0000000e-02   +1.2000000e-01   +2.1065500e-10   +7.4477921e-11
  +1.2000000e-01   +1.5000000e-01   +3.6864500e-10   +9.8525241e-11
