,xlow,xhigh,val,errminus,errplus
0,75.0,75.2,8029.363448,71.5653465375,71.5653465375
1,75.2,75.4,8384.66632325,73.13168408,73.13168408
2,75.4,75.6,8977.86507825,75.674391905,75.674391905
3,75.6,75.8,9322.96081775,77.11512004000001,77.11512004000001
4,75.8,76.0,9949.32029675,79.66341316500001,79.66341316500001
5,76.0,76.2,10601.198612500002,82.23173358000001,82.23173358000001
6,76.2,76.4,11122.346997499999,84.22877754249998,84.22877754249998
7,76.4,76.6,11881.409215,87.0555377675,87.0555377675
8,76.6,76.8,12697.22207,89.99466226000001,89.99466226000001
9,76.8,77.0,13601.07321625,93.1427567625,93.1427567625
10,77.0,77.2,14390.774793749999,95.80870024250001,95.80870024250001
11,77.2,77.4,15660.074113749999,99.944594945,99.944594945
12,77.4,77.6,17067.180737500003,104.338151505,104.338151505
13,77.6,77.8,18485.807042499997,108.58798632749999,108.58798632749999
14,77.8,78.0,19882.082173749997,112.614289465,112.614289465
15,78.0,78.2,22060.997467499998,118.62471058499999,118.62471058499999
16,78.2,78.4,24251.372599999995,124.374218405,124.374218405
17,78.4,78.6,27160.057207500002,131.62180342250002,131.62180342250002
18,78.6,78.8,30291.276124999997,139.0020592625,139.0020592625
19,78.8,79.0,34063.607692499994,147.40348747000002,147.40348747000002
20,79.0,79.2,38435.501267499996,156.577302825,156.577302825
21,79.2,79.4,43652.490627499996,166.865585005,166.865585005
22,79.4,79.6,50059.807155,178.69275696750003,178.69275696750003
23,79.6,79.8,57506.1490625,191.52231075249998,191.52231075249998
24,79.8,80.0,65952.7184625,205.10617925,205.10617925
25,80.0,80.2,75039.662455,218.7801905,218.7801905
26,80.2,80.4,83123.86557,230.2635673,230.2635673
27,80.4,80.6,90593.86521250001,240.38752197500003,240.38752197500003
28,80.6,80.8,95581.837325,246.916338725,246.916338725
29,80.8,81.0,98211.1372475,250.289460975,250.289460975
30,81.0,81.2,99153.85609750001,251.487906775,251.487906775
31,81.2,81.4,98543.5024925,250.71274692500003,250.71274692500003
32,81.4,81.6,97085.9785625,248.85164517500002,248.85164517500002
33,81.6,81.8,95208.08101750001,246.43321027500002,246.43321027500002
34,81.8,82.0,93423.996565,244.113316025,244.113316025
35,82.0,82.2,91285.9237775,241.303910125,241.303910125
36,82.2,82.4,89420.19420750001,238.825233775,238.825233775
37,82.4,82.6,87534.73656,236.29389602499998,236.29389602499998
38,82.6,82.8,85162.460175,233.069981075,233.069981075
39,82.8,83.0,83534.6444375,230.831871575,230.831871575
40,83.0,83.2,81980.8139775,228.67494839999998,228.67494839999998
41,83.2,83.4,79898.873455,225.75263965,225.75263965
42,83.4,83.6,78485.35371,223.74671905000002,223.74671905000002
43,83.6,83.8,77416.9456625,222.218541075,222.218541075
44,83.8,84.0,75704.95147500001,219.74784372500002,219.74784372500002
45,84.0,84.2,74878.9055525,218.5456079,218.5456079
46,84.2,84.4,73305.94544000001,216.237881625,216.237881625
47,84.4,84.6,72448.68168,214.96981904999998,214.96981904999998
48,84.6,84.8,70878.89322,212.62818202499997,212.62818202499997
49,84.8,85.0,70126.912365,211.49735825000002,211.49735825000002
