,xlow,xhigh,val,errminus,errplus
0,75.0,75.2,7826.1343285,70.65211009250001,70.65211009250001
1,75.2,75.4,8293.679791499999,72.7319960225,72.7319960225
2,75.4,75.6,8597.286725749998,74.0512837775,74.0512837775
3,75.6,75.8,9205.13093525,76.62433175,76.62433175
4,75.8,76.0,9673.304744500001,78.54876681249999,78.54876681249999
5,76.0,76.2,10323.87849375,81.1471281625,81.1471281625
6,76.2,76.4,10887.7245025,83.33365342750001,83.33365342750001
7,76.4,76.6,11563.1867475,85.879692485,85.879692485
8,76.6,76.8,12302.421149999998,88.582339365,88.582339365
9,76.8,77.0,13041.02720625,91.2026629125,91.2026629125
10,77.0,77.2,14150.207943750002,95.0021031325,95.0021031325
11,77.2,77.4,15168.1787375,98.35996554500001,98.35996554500001
12,77.4,77.6,16449.5662425,102.430372605,102.430372605
13,77.6,77.8,18019.903258749997,107.20815791,107.20815791
14,77.8,78.0,19358.69966875,111.11934402499999,111.11934402499999
15,78.0,78.2,21430.995574999997,116.9156686275,116.9156686275
16,78.2,78.4,23736.1087275,123.04288236,123.04288236
17,78.4,78.6,26092.267532500002,129.0052898475,129.0052898475
18,78.6,78.8,28722.64462,135.351726605,135.351726605
19,78.8,79.0,32277.9074925,143.48434230249998,143.48434230249998
20,79.0,79.2,36390.6032525,152.351305265,152.351305265
21,79.2,79.4,41479.82887500001,162.656024185,162.656024185
22,79.4,79.6,47805.859339999995,174.6193178875,174.6193178875
23,79.6,79.8,54598.7211475,186.61349032,186.61349032
24,79.8,80.0,62951.05855750001,200.37941965,200.37941965
25,80.0,80.2,71603.14705,213.70654387500002,213.70654387500002
26,80.2,80.4,80367.55991499999,226.40811449999998,226.40811449999998
27,80.4,80.6,87920.7007375,236.808541525,236.808541525
28,80.6,80.8,94115.31707250001,245.00895877499997,245.00895877499997
29,80.8,81.0,97706.94423749999,249.64016985,249.64016985
30,81.0,81.2,99000.4199275,251.28703545000002,251.28703545000002
31,81.2,81.4,99577.7005775,252.01870975,252.01870975
32,81.4,81.6,98128.53465,250.178153925,250.178153925
33,81.6,81.8,96436.388225,248.011855425,248.011855425
34,81.8,82.0,94246.072935,245.17911094999997,245.17911094999997
35,82.0,82.2,92241.36913250001,242.55741102500002,242.55741102500002
36,82.2,82.4,90702.2599275,240.5253592,240.5253592
37,82.4,82.6,88540.09056,237.64115017500004,237.64115017500004
38,82.6,82.8,85891.7607225,234.06017497500002,234.06017497500002
39,82.8,83.0,84702.2514025,232.43385529999998,232.43385529999998
40,83.0,83.2,82591.6862175,229.519725025,229.519725025
41,83.2,83.4,81280.9359925,227.6911377,227.6911377
42,83.4,83.6,79495.0762125,225.175957425,225.175957425
43,83.6,83.8,78129.4304675,223.2332704,223.2332704
44,83.8,84.0,76423.24100250001,220.78232107500003,220.78232107500003
45,84.0,84.2,75118.255605,218.889303325,218.889303325
46,84.2,84.4,73513.4592825,216.53849045,216.53849045
47,84.4,84.6,72663.8952575,215.283593225,215.283593225
48,84.6,84.8,71506.84052000001,213.56272239999998,213.56272239999998
49,84.8,85.0,70859.50425,212.593872325,212.593872325
