,xlow,xhigh,val,errminus,errplus
0,75.0,75.2,33600.007845,146.398652105,146.398652105
1,75.2,75.4,33797.7075175,146.82868031,146.82868031
2,75.4,75.6,34257.0386,147.8230831325,147.8230831325
3,75.6,75.8,34504.507285,148.3560404375,148.3560404375
4,75.8,76.0,34830.449435,149.05518036499998,149.05518036499998
5,76.0,76.2,35161.53804,149.76192029,149.76192029
6,76.2,76.4,35250.164782500004,149.95050395500002,149.95050395500002
7,76.4,76.6,35403.960007500005,150.2773836375,150.2773836375
8,76.6,76.8,36128.552945,151.8073169925,151.8073169925
9,76.8,77.0,36443.643655,152.46787845499998,152.46787845499998
10,77.0,77.2,36759.3926325,153.1268840125,153.1268840125
11,77.2,77.4,37493.580317500004,154.64851920750002,154.64851920750002
12,77.4,77.6,37776.814869999995,155.23160458,155.23160458
13,77.6,77.8,38200.380085,156.099440515,156.099440515
14,77.8,78.0,39005.3614475,157.73557436,157.73557436
15,78.0,78.2,39914.9475,159.56414173750002,159.56414173750002
16,78.2,78.4,40318.724794999995,160.3691231,160.3691231
17,78.4,78.6,41256.4368225,162.2233429625,162.2233429625
18,78.6,78.8,41960.005095,163.60075773249997,163.60075773249997
19,78.8,79.0,42452.4490275,164.5579584675,164.5579584675
20,79.0,79.2,43687.997177499994,166.9354610975,166.9354610975
21,79.2,79.4,44297.13398499999,168.095148905,168.095148905
22,79.4,79.6,44825.962157500006,169.09557587249998,169.09557587249998
23,79.6,79.8,44884.0093825,169.205107595,169.205107595
24,79.8,80.0,43878.695277499995,167.29936333999999,167.29936333999999
25,80.0,80.2,41930.004055000005,163.54225171499996,163.54225171499996
26,80.2,80.4,38827.369905,157.37524272000002,157.37524272000002
27,80.4,80.6,35130.300255,149.6953953775,149.6953953775
28,80.6,80.8,30462.964257499996,139.39713944749997,139.39713944749997
29,80.8,81.0,26131.145210000002,129.1061045125,129.1061045125
30,81.0,81.2,22165.482472499996,118.90658870749999,118.90658870749999
31,81.2,81.4,18661.60436,109.10420767999999,109.10420767999999
32,81.4,81.6,16007.449852500002,101.048170435,101.048170435
33,81.6,81.8,13723.8600525,93.563309905,93.563309905
34,81.8,82.0,11985.674797500002,87.43777176249999,87.43777176249999
35,82.0,82.2,10484.72516,81.77972323,81.77972323
36,82.2,82.4,9197.507000750002,76.5953879275,76.5953879275
37,82.4,82.6,8331.895212,72.90190882750001,72.90190882750001
38,82.6,82.8,7391.0633955,68.6627858125,68.6627858125
39,82.8,83.0,6585.415786500001,64.8125592575,64.8125592575
40,83.0,83.2,5939.23048725,61.55056453,61.55056453
41,83.2,83.4,5400.227095,58.691190142500005,58.691190142500005
42,83.4,83.6,5046.85912725,56.7385293675,56.7385293675
43,83.6,83.8,4615.0097155,54.2567013125,54.2567013125
44,83.8,84.0,4231.6506815,51.954380809999996,51.954380809999996
45,84.0,84.2,3984.8023637500005,50.416308875,50.416308875
46,84.2,84.4,3607.8225402499997,47.972301279999996,47.972301279999996
47,84.4,84.6,3418.99950525,46.69996994,46.69996994
48,84.6,84.8,3174.7024727499997,45.00068231,45.00068231
49,84.8,85.0,2972.48668625,43.54387649,43.54387649
