,xlow,xhigh,val,errminus,errplus
0,75.0,75.2,7962.240110499999,71.26491724,71.26491724
1,75.2,75.4,8347.496151750001,72.968633215,72.968633215
2,75.4,75.6,8929.21711525,75.4683541775,75.4683541775
3,75.6,75.8,9343.161651,77.1977625325,77.1977625325
4,75.8,76.0,9811.3574025,79.10841387250001,79.10841387250001
5,76.0,76.2,10403.89789,81.46213908250002,81.46213908250002
6,76.2,76.4,11126.5758675,84.243917695,84.243917695
7,76.4,76.6,11860.115258750002,86.9766254575,86.9766254575
8,76.6,76.8,12635.095581250001,89.7733048525,89.7733048525
9,76.8,77.0,13500.0092075,92.7950718375,92.7950718375
10,77.0,77.2,14412.7669125,95.880810455,95.880810455
11,77.2,77.4,15675.05468625,99.991351885,99.991351885
12,77.4,77.6,17069.39491,104.3439163325,104.3439163325
13,77.6,77.8,18301.70159125,108.04471616500001,108.04471616500001
14,77.8,78.0,20070.45639,113.14533181,113.14533181
15,78.0,78.2,22130.075660000002,118.80900553749998,118.80900553749998
16,78.2,78.4,24191.589942500003,124.2196452275,124.2196452275
17,78.4,78.6,27059.9606525,131.3775263375,131.3775263375
18,78.6,78.8,30157.966982500002,138.69440897,138.69440897
19,78.8,79.0,33673.1553275,146.5547412925,146.5547412925
20,79.0,79.2,37970.963887499995,155.62654513249998,155.62654513249998
21,79.2,79.4,43347.992040000005,166.2809038325,166.2809038325
22,79.4,79.6,49500.0603575,177.68911845250003,177.68911845250003
23,79.6,79.8,56958.390712500004,190.60612207750003,190.60612207750003
24,79.8,80.0,65916.25443249999,205.04733412500002,205.04733412500002
25,80.0,80.2,75015.12702999999,218.74209077499998,218.74209077499998
26,80.2,80.4,83252.9458425,230.4399032,230.4399032
27,80.4,80.6,89977.76672750001,239.566083925,239.566083925
28,80.6,80.8,95637.31132250001,246.98555654999998,246.98555654999998
29,80.8,81.0,98087.9813825,250.13008045000004,250.13008045000004
30,81.0,81.2,99267.3573725,251.62933455,251.62933455
31,81.2,81.4,98495.46891250001,250.64891492499999,250.64891492499999
32,81.4,81.6,97304.06458,249.12851647499997,249.12851647499997
33,81.6,81.8,95310.7308525,246.56346745,246.56346745
34,81.8,82.0,93996.13076,244.8571583,244.8571583
35,82.0,82.2,91676.2963525,241.81676035,241.81676035
36,82.2,82.4,89192.61318,238.5186407,238.5186407
37,82.4,82.6,87783.54172749999,236.627019275,236.627019275
38,82.6,82.8,85831.08042750001,233.980783925,233.980783925
39,82.8,83.0,83777.8842525,231.16539377499998,231.16539377499998
40,83.0,83.2,82018.07590750001,228.72461767500002,228.72461767500002
41,83.2,83.4,80148.53636499999,226.102718275,226.102718275
42,83.4,83.6,78707.64864999999,224.06109164999998,224.06109164999998
43,83.6,83.8,77584.36503,222.45651475000003,222.45651475000003
44,83.8,84.0,75944.4611075,220.092736,220.092736
45,84.0,84.2,74564.832165,218.08462117500002,218.08462117500002
46,84.2,84.4,72925.546615,215.6739658,215.6739658
47,84.4,84.6,72107.26027000001,214.46055937500003,214.46055937500003
48,84.6,84.8,70982.04174249999,212.78078039999997,212.78078039999997
49,84.8,85.0,70181.5485675,211.577347725,211.577347725
