,xlow,xhigh,val,errminus,errplus
0,75.0,75.2,7863.966757,70.8235788025,70.8235788025
1,75.2,75.4,8321.295110500001,72.853815405,72.853815405
2,75.4,75.6,8856.4546195,75.16002567,75.16002567
3,75.6,75.8,9269.77280375,76.893822475,76.893822475
4,75.8,76.0,9772.407914,78.9510679925,78.9510679925
5,76.0,76.2,10465.08684625,81.70116997499998,81.70116997499998
6,76.2,76.4,11148.22887875,84.3257223925,84.3257223925
7,76.4,76.6,11713.371475,86.4367264225,86.4367264225
8,76.6,76.8,12719.872456250001,90.0737939925,90.0737939925
9,76.8,77.0,13455.94518,92.6433112575,92.6433112575
10,77.0,77.2,14408.87715,95.8676251575,95.8676251575
11,77.2,77.4,15667.364925,99.96667682750001,99.96667682750001
12,77.4,77.6,16883.08526,103.77267977499999,103.77267977499999
13,77.6,77.8,18353.30577375,108.19675601,108.19675601
14,77.8,78.0,19932.629138750002,112.75597655749999,112.75597655749999
15,78.0,78.2,21712.215430000004,117.68187205000001,117.68187205000001
16,78.2,78.4,24063.287622500004,123.88951410249999,123.88951410249999
17,78.4,78.6,26638.2306075,130.3495518725,130.3495518725
18,78.6,78.8,29967.76757,138.2560626575,138.2560626575
19,78.8,79.0,33790.3668375,146.80923149749998,146.80923149749998
20,79.0,79.2,37574.108374999996,154.8108918575,154.8108918575
21,79.2,79.4,43095.257215,165.7951423125,165.7951423125
22,79.4,79.6,49554.6766125,177.78670162249998,177.78670162249998
23,79.6,79.8,56978.5376875,190.63943440249997,190.63943440249997
24,79.8,80.0,65149.29300500001,203.850484125,203.850484125
25,80.0,80.2,74359.1534925,217.78321445,217.78321445
26,80.2,80.4,82644.78646250001,229.59632342499998,229.59632342499998
27,80.4,80.6,89756.70853250001,239.271259875,239.271259875
28,80.6,80.8,95215.98022749998,246.440391375,246.440391375
29,80.8,81.0,97764.77204000001,249.71696772500002,249.71696772500002
30,81.0,81.2,99169.355305,251.50446319999998,251.50446319999998
31,81.2,81.4,98942.87139000001,251.2172192,251.2172192
32,81.4,81.6,97317.68872250001,249.14547184999998,249.14547184999998
33,81.6,81.8,95492.19326,246.7976511,246.7976511
34,81.8,82.0,93833.1397375,244.64431847499998,244.64431847499998
35,82.0,82.2,91363.419815,241.40344815,241.40344815
36,82.2,82.4,89733.76890750001,239.2407402,239.2407402
37,82.4,82.6,87420.916125,236.13730815,236.13730815
38,82.6,82.8,86025.2892875,234.244888825,234.244888825
39,82.8,83.0,83834.33567750001,231.24279007499996,231.24279007499996
40,83.0,83.2,81841.680165,228.4778671,228.4778671
41,83.2,83.4,80439.72997,226.5126394,226.5126394
42,83.4,83.6,78704.1179425,224.05550635,224.05550635
43,83.6,83.8,77839.85261,222.82195295,222.82195295
44,83.8,84.0,75946.75507,220.095728125,220.095728125
45,84.0,84.2,74644.8814825,218.201114575,218.201114575
46,84.2,84.4,73708.5458325,216.82832762500001,216.82832762500001
47,84.4,84.6,72145.1804675,214.516412375,214.516412375
48,84.6,84.8,70975.399225,212.77040770000002,212.77040770000002
49,84.8,85.0,70080.4945325,211.42474934999998,211.42474934999998
