,wmass,loglik_min,sigma_min,loglik_max,sigma_max,loglik_tot,sigma_tot
0,80330.0,141.9805737399729,24.115205442398153,340.6286445170408,29.52749518697267,482.6092182570137,28.34537007278229
1,80340.0,83.77328600652982,14.228777567360114,241.5080716307275,20.935198896153327,325.2813576372573,19.104940625263556
2,80350.0,51.65378554869676,8.773324530056495,151.94472111179493,13.171373263912272,203.5985066604917,11.95807042061944
3,80360.0,35.0296995487879,5.949746355804967,86.90645953058265,7.533512248050933,121.93615907937055,7.161747897898095
4,80370.0,16.86452341102995,2.86441613829471,48.83013634639792,4.232854867481212,65.69465975742787,3.858482955122768
5,80380.0,8.653763570357114,1.4698298566626329,15.923959734966047,1.3803731776533956,24.57772330532316,1.4435378278763462
6,80390.0,0.0,0.0,0.0,0.0,0.0,0.0
7,80400.0,4.742122301715426,0.8054429597409748,9.556602629832923,0.8284169364449474,14.29872493154835,0.8398153918763577
8,80410.0,11.66843469144078,1.981867605991221,45.94225809688214,3.9825182839738487,57.61069278832292,3.3836825851194794
9,80420.0,27.39604244788643,4.653180181884562,117.27730247832369,10.16621778646863,144.67334492621012,8.49718436048773
10,80430.0,27.701669198751915,4.7050904657471415,167.44536104879808,14.515050839190177,195.14703024755,11.461684903054284
11,80440.0,81.10044498776551,13.774799191414003,246.7218039232539,21.38715282795496,327.8222489110194,19.254176281659852
12,80450.0,111.8248083749786,18.993290113464287,383.8355970145203,33.27290269291499,495.6604053894989,29.111913095925328
