mVV,mRecoil,mRCmin,mRCmax,mRCLSP,mLSPmax
108.435,90.6804,57.2319,102.232,91.4532,38.733
90.5479,91.6338,78.0802,119.963,111.095,45.8091
91.7545,92.8092,56.9976,89.1657,82.3922,34.4808
85.5376,85.1674,71.4275,101.986,95.2401,36.3196
89.0732,92.756,73.5328,112.66,104.614,43.5414
92.3824,93.8839,75.4499,119.648,110.429,46.8043
91.0734,91.1804,77.7745,119.536,110.595,45.414
91.5762,92.6201,39.2784,61.2698,56.6343,23.6451
83.6195,95.6663,79.7668,119.987,112.468,47.8278
90.3123,89.8221,55.2592,85.1254,78.6922,32.2879
91.2334,88.1608,77.1174,116.08,107.375,42.6441
91.2119,95.2084,72.8776,115.714,107.031,45.9039
92.8913,91.7972,74.9898,117.426,108.275,44.9146
125.3,92.7244,38.2793,90.723,78.1001,35.3784
89.17,89.2772,68.7672,102.837,95.4752,38.254
89.9346,94.6469,56.9908,89.1675,82.6704,35.1643
90.7214,90.7755,75.5342,115.444,106.879,43.6657
86.7999,99.4774,75.3665,119.526,111.435,49.5424
70.3765,91.4022,51.2172,73.7383,70.0342,29.9716
90.9865,91.0869,68.788,105.582,97.7006,40.0714
94.2756,90.4142,62.7201,98.2024,90.3204,37.0002
86.1749,93.5985,12.658,19.1095,17.8347,7.45326
90.6568,88.097,79.9816,119.855,110.982,43.9979
92.6788,94.6643,30.9682,49.5457,45.7027,19.5426
94.9689,93.1902,56.0982,90.7834,83.3314,35.3526
91.452,90.4235,66.644,102.14,94.4348,38.483
91.4839,90.9671,45.8688,70.7908,65.4247,26.884
71.7239,91.7887,85.1202,116.284,110.97,44.4731
92.2122,93.3,73.021,115.097,106.262,44.7452
89.7897,91.1338,55.0106,85.6318,79.1965,33.0564
90.8692,89.2489,59.7529,90.424,83.6924,33.6299
91.2742,90.9537,76.3089,117.261,108.45,44.4388
90.6506,91.0474,46.0197,70.4385,65.2207,26.7218
86.5352,90.2996,72.6816,110.58,102.785,42.5563
90.3915,91.5308,56.0088,86.0144,79.6644,32.8445
90.4008,90.8513,4.97844,7.59174,7.03338,2.87383
90.1783,59.8232,93.5775,118.934,111.107,29.8943
89.6395,90.6547,74.468,112.822,104.658,42.6161
85.8479,89.3306,73.5211,107.559,100.442,40.0346
93.6305,89.6929,42.757,66.2399,60.9994,24.7586
92.2773,80.2023,83.4201,119.816,110.746,40.0915
94.4933,91.9814,51.4453,81.7182,75.1217,31.3213
91.9369,90.461,69.7443,107.308,99.1241,40.4473
90.8146,91.1538,61.4729,94.2804,87.2702,35.8084
89.0738,92.5417,78.3591,119.865,111.304,46.2188
92.9149,94.2687,64.0995,102.417,94.4308,40.2282
90.7281,89.6459,19.6151,29.7396,27.5325,11.1103
123.106,90.8831,53.979,118.139,102.34,45.1459
90.5551,94.5307,72.4049,113.739,105.333,44.8036
93.2511,89.5819,27.0088,41.6879,38.417,15.5623
90.5784,92.7657,59.1053,96.5402,88.8703,38.6214
90.8605,89.8454,74.203,112.754,104.363,42.2106
91.1764,90.4741,49.9462,77.2276,71.3447,29.3376
90.6589,75.6039,41.1581,56.9585,52.8428,17.9787
91.6479,91.166,65.6932,101.393,93.7099,38.5152
90.8647,92.3658,68.6168,106.242,98.3334,40.8887
91.1118,89.4546,15.6564,23.7649,21.9868,8.85848
91.1667,89.9803,71.6288,109.192,101.009,40.9386
82.6604,90.0313,25.5018,36.7221,34.4755,13.7756
94.7513,90.9878,46.8971,74.0434,68.0372,28.0745
89.4146,99.2042,16.288,26.3404,24.4443,10.8878
91.0373,91.5291,77.8632,119.953,110.989,45.7467
92.4707,94.8949,74.1919,118.722,109.556,46.9422
91.2631,108.15,32.2344,57.9294,53.5778,26.1045
93.7622,104.215,66.248,117.197,107.883,50.8907
92.4083,91.9249,67.724,105.755,97.6016,40.5063
91.4138,91.9398,64.3785,99.773,92.2524,38.2218
90.1099,90.8409,78.471,119.453,110.714,45.2133
92.3944,94.6209,71.1164,113.941,105.111,45.0416
91.0426,90.9759,54.5039,83.6236,77.3732,31.699
91.565,90.7995,23.9243,36.8002,34.017,13.9227
89.6012,89.8419,74.8763,112.755,104.602,42.2089
87.8155,87.8898,80.8444,118.681,110.451,43.4619
97.5694,90.5359,67.3393,108.382,99.0636,40.9026
87.7617,91.7709,73.9969,114.804,106.484,44.8675
90.4948,95.5006,75.8382,120,111.142,47.7502
91.0937,98.0112,52.7837,85.7215,79.3069,35.007
89.1527,89.4733,44.1718,66.1381,61.4057,24.6568
91.8779,89.0806,76.079,115.81,106.995,42.9882
91.6157,108.765,52.1164,94.6921,87.5214,42.9131
91.0848,92.2837,31.2023,48.362,44.7438,18.5959
91.3664,93.4381,67.9729,106.537,98.5148,41.4775
91.5804,90.4908,31.2889,48.025,44.3914,18.108
90.6674,89.2297,55.3063,83.5521,77.3619,31.0644
90.0895,93.3254,62.9666,97.6306,90.4913,37.9642
91.0261,91.5621,68.7069,106.189,98.2187,40.602
90.0802,90.8096,73.7157,112.164,103.964,42.44
91.9498,90.3147,78.0481,119.963,110.812,45.1446
93.6668,90.5689,47.5937,74.2576,68.3745,28.025
61.9506,94.4059,23.4762,32.3611,31.1347,13.4489
93.6585,90.9794,68.2791,106.87,98.4031,40.5158
95.7345,88.0166,74.0017,115.012,105.516,42.2096
89.2688,92.8614,73.9189,114.366,106.066,44.4943
101.814,91.1127,65.4808,109.976,99.6884,41.7923
87.9218,91.1721,67.4241,102.37,95.1293,39.214
89.4416,90.8896,78.6645,119.212,110.624,45.1464
100.266,92.0478,45.9166,76.7058,69.7321,29.4364
93.3368,92.9882,56.9705,90.4002,83.2824,35.0292
84.9326,97.6934,65.2554,104.8,97.6144,43.8673
91.7629,90.9344,62.3712,96.181,88.8737,36.4426
91.3162,91.9882,73.2513,113.877,105.268,43.7551
95.6587,92.9981,69.8393,112.976,103.621,43.7802
91.1564,91.0052,67.6083,103.839,96.058,39.3748
103.09,92.3174,11.1131,19.1203,17.2843,7.36215
89.6007,92.9778,48.6318,74.927,69.5095,29.0273
84.3474,91.1692,62.6003,91.7843,85.9292,34.8663
93.9092,91.8389,74.3858,117.463,108.101,44.9503
90.7566,91.335,72.8252,111.794,103.492,42.5445
92.3661,89.5266,49.8291,76.3741,70.4968,28.4926
63.224,92.5051,86.0898,113.142,109.146,43.6093
91.8393,79.6005,76.3914,109.019,100.852,36.2052
91.9707,90.8447,53.3377,82.3429,76.0556,31.174
91.4362,80.0751,61.746,88.1722,81.614,29.4514
76.4357,90.7164,23.1747,32.5378,30.8161,12.3957
90.5728,92.0058,41.0279,63.2115,58.5379,24.2336
89.4625,81.5331,71.2701,101.513,94.2487,34.5051
86.5302,91.3291,6.7643,10.0721,9.39532,3.83283
79.6054,92.4718,65.9338,94.5847,89.2302,36.4434
89.8602,92.7138,77.5507,119.479,110.788,46.1555
91.4407,83.2444,81.8868,119.472,110.507,41.5021
98.2927,102.394,63.998,116.809,106.554,49.857
91.1507,93.2594,70.0995,109.53,101.323,42.5613
91.9266,88.4334,75.9092,115.051,106.287,42.398
90.9939,90.8839,41.4714,63.5613,58.8159,24.0696
92.8462,91.1569,74.8675,116.607,107.531,44.2911
91.0831,91.2423,71.9348,110.67,102.384,42.0878
91.3401,90.5609,51.4114,78.8092,72.879,29.7378
86.3438,91.9495,68.7871,105.636,98.2428,41.3458
89.1137,97.8402,57.4343,91.5942,85.0461,37.3402
93.5568,88.3203,32.5185,49.8273,45.8966,18.3409
90.2912,88.6304,75.5032,115.808,106.997,43.4997
87.7703,92.9321,40.3411,63.1765,58.5969,25.0044
28.8438,100.263,66.1949,82.1913,81.4674,37.8359
91.4606,93.0562,63.1683,98.7831,91.3289,38.3017
89.7123,92.0076,78.327,119.908,111.216,45.9687
92.1244,90.8974,74.7885,115.613,106.758,43.7883
89.0403,92.9959,67.2134,103.137,95.776,39.9636
91.2659,118.811,58.0172,119.985,110.971,59.3984
96.3313,91.1149,74.8779,119.872,109.818,45.5198
89.8788,92.0704,56.0853,86.326,80.0082,33.2077
92.2715,90.1501,62.2409,95.7781,88.4201,35.9781
91.8434,91.2011,20.4084,31.5534,29.1519,11.9905
83.8079,93.8353,65.1034,96.8208,90.7259,37.855
84.3875,89.8918,59.1594,86.047,80.5525,32.2289
91.4612,90.5523,78.1464,119.892,110.845,45.2357
105.887,91.0981,37.0366,87.2532,76.3862,36.6391
92.2481,90.8945,9.08164,14.0499,12.9712,5.32117
91.1469,88.0943,78.0558,117.367,108.582,43.084
118.588,92.9578,30.8021,64.8476,56.7025,25.2622
100.869,92.2263,70.8482,119.223,108.252,45.8442
90.9003,90.0144,61.2915,93.2761,86.3276,34.9844
90.8675,82.5203,7.91363,11.5287,10.6644,3.99523
94.1809,89.3596,30.9452,48.0231,44.179,17.8851
90.49,88.2245,77.8813,116.678,108.072,42.8933
90.5953,91.666,59.192,90.9806,84.2497,34.7493
113.341,91.9206,45.2609,86.9932,76.9885,33.4521
90.6835,90.088,45.2773,68.8335,63.731,25.8379
90.521,83.6994,79.4405,115.457,106.973,40.283
86.955,88.1669,77.6668,113.655,105.924,41.776
90.5549,90.7318,71.9568,109.806,101.69,41.512
92.2696,87.8999,43.0125,65.0965,60.1034,23.8455
90.9158,90.6485,75.4889,118.054,108.955,45.3152
105.778,90.3338,65.4902,113.938,102.427,43.0807
91.3481,91.6659,34.7023,53.6419,49.6046,20.4881
90.6792,91.7921,77.8682,119.875,110.99,45.8484
91.183,89.5306,55.3717,84.147,77.839,31.3933
91.9489,77.4986,47.5475,67.0185,62.0176,21.6806
90.5938,92.3745,66.8145,103.245,95.6069,39.7383
91.532,80.1693,19.1325,27.3517,25.3131,9.14703
94.0702,90.3788,73.9124,115.51,106.279,43.5036
96.3868,89.5022,64.9518,102.644,94.0415,38.2948
