,wmass,loglik_min,sigma_min,loglik_max,sigma_max,loglik_tot,sigma_tot
0,80330.0,348.43485426215193,6.5552307581508815,340.6286445170408,29.52749518697267,689.0634987791927,10.831867294130106
1,80340.0,236.136280653227,4.442517133744514,241.5080716307275,20.935198896153327,477.6443522839545,7.508423021821447
2,80350.0,133.9848311355454,2.5207050197239202,151.94472111179493,13.171373263912272,285.9295522473403,4.494725044789666
3,80360.0,92.90710032951756,1.7478948339434763,86.90645953058265,7.533512248050933,179.8135598601002,2.826614124156158
4,80370.0,57.67580316006206,1.0850757157360609,48.83013634639792,4.232854867481212,106.50593950645998,1.6742407699936925
5,80380.0,36.03788255606196,0.6779937004017087,15.923959734966047,1.3803731776533956,51.961842291028006,0.8168242564758079
6,80390.0,0.0,0.0,0.0,0.0,0.0,0.0
7,80400.0,31.112040365442226,0.5853220521932497,9.556602629832923,0.8284169364449474,40.66864299527515,0.6392986201382524
8,80410.0,46.66654438357364,0.8779545541378524,45.94225809688214,3.9825182839738487,92.60880248045578,1.4557820295427537
9,80420.0,88.79233262533671,1.6704822229857954,117.27730247832369,10.16621778646863,206.0696351036604,3.239351590596931
10,80430.0,116.39580559849128,2.1897963296315965,167.44536104879808,14.515050839190177,283.84116664728936,4.461896262364241
11,80440.0,205.34236506489106,3.8631800778807297,246.7218039232539,21.38715282795496,452.06416898814496,7.106310369924148
12,80450.0,296.14623293170735,5.571506039874709,383.8355970145203,33.27290269291499,679.9818299462277,10.689106239768355
